用户,评论内容,点赞数,评论时间,观点分类
Co-Coon,不是说好的电池倒置火往下吗[doge],0,2025-10-16 02:27:11,支持
嗶哩嗶哩會員,非传统车企、首系列、首款、首批，单单符合其中一项，别说二三十万，7.98万都不考虑[捂脸],0,2025-10-16 02:14:16,反对
生吃黄瓜要吐皮,https://b23.tv/BV1LT411e7Ff,0,2025-10-16 01:45:13,中立
绝对零度8,只要是酒驾 哈哈 我都是喜欢这样 不影响到别人,0,2025-10-16 01:36:06,支持
兔蹬鹰link,太危险了，还是腿儿着吧,0,2025-10-16 01:08:50,反对
不吃鱼船长,兄弟们 家里考虑买个便宜能拉人拉大件的纯电suv 目前看了埃安的霸王龙家庭版低配这个值不值得买 老爹开的比较多一年两万左右 有时候需要跑高速标称续航打八折来回够用 不考虑智驾因为老爹开了很多年车不信任智驾 低配的车道保持和巡航完全够用 如果主动刹停好用的话就是非常够用了 目前就是价格好像没有优惠 对比了零跑的b10同一天试驾的感觉更喜欢霸王龙多一点 零跑那边车外观内饰不太中意 另外店员态度也不太好（当然真正买回来开这个不重要） 关于这个车我了解比较少 看了一些视频 看起来还不错想问问有没有什么需要避雷的点 提前谢谢大家指点迷津了[保佑],0,2025-10-16 00:41:30,支持
衔玉教主教,技术快速发展才不到五年的玩意，小白鼠实验阶段罢了[吃瓜],0,2025-10-16 00:41:24,中立
小粑打酱油,[辣眼睛],0,2025-10-16 00:10:17,中立
北10001,我先缓存,0,2025-10-15 23:52:37,中立
卐埃隆马斯克卍,吉利打钱,0,2025-10-15 23:24:49,中立
Ghost游戏生活,每年车祸死亡人数 6w左右,0,2025-10-15 23:19:21,反对
Ghost游戏生活,按空格键开车门，哦，空格键坏了,0,2025-10-15 23:20:20,反对
Tadej_Pogacar,【小米su7又在隧道里出事了，看样子阵仗有点大，不知道有没有伤亡-哔哩哔哩】 https://b23.tv/6bhliZw,0,2025-10-15 23:08:43,中立
佐愚,大家以后千万不能开车喝酒啊，本来这事儿随随便便就能讹厂家一大笔钱的，你这一喝酒搞得成了你的责任了 大家原本也都能愉快的谴责了，你这一喝酒搞得大家都不好说了 所以以后还是别喝酒开车的好[星星眼],0,2025-10-15 23:06:56,支持
蒙的都对猜的都中,人要作死别人拦不住，但千万别祸害别人,0,2025-10-15 22:57:34,中立
圣-泽连斯基,现在没有外无机械开关的隐藏式门把手的车，如果召回的话会不会统一更换？,0,2025-10-15 22:49:07,支持
安得千万间广夏,投币,0,2025-10-15 22:39:57,中立
一只小小小小小小的鸟,超哥你总是这么打动人的内心,0,2025-10-15 22:21:02,支持
哇喂人,超哥超哥，小米su7能不能买,0,2025-10-15 22:18:30,支持
不喜请喷,[笑哭]实话实说买纯电甚至是插混，买个20w以下比亚迪代步就行，等固态上了再买吧，现在车都是一个b样，碰了就着,0,2025-10-15 22:09:01,支持
老子不在乎123,对于车企来说赚钱才是最重要。反正他们的老板又不开自己的车，死人也是死的别人[doge],0,2025-10-15 22:01:58,支持
QEAGLE,200公里瞬杀,0,2025-10-15 22:03:04,中立
MotokoX,我不敢知道！,0,2025-10-15 21:59:13,反对
Joey达达的英语频道,@冬去雪微来,0,2025-10-15 21:54:36,中立
苏州胖于宴,还得是老咕噜棒子油车开的实在，极致的驾驶机器。跑也跑不快[点赞],0,2025-10-15 21:41:00,支持
彩虹迷雾,开车如驾虎，这是一位汽车兵告诉我的[酸了],0,2025-10-15 21:39:19,支持
天上狼眼,嘿嘿嘿嘿，我看油车[星星眼],0,2025-10-15 21:25:01,中立
_旗舰_,法医秦明来验,0,2025-10-15 21:18:33,中立
托尼章,桌子:拍个der啊？拍拍拍！一直拍！,0,2025-10-15 20:59:52,中立
芽芽靉衣,想买车，贷款过不去[笑哭],0,2025-10-15 20:56:18,中立
西瓜荡秋千93,问下买电车的朋友们，那个隐藏式门把手真的可以降低电耗吗？我看到我身边买电车的同事们，天天在群里比电耗，之前开油车比油耗，我觉得电车不就直接干嘛[笑哭],0,2025-10-15 20:38:29,反对
墨鱼丸的武士头,其实我一直没搞懂小米酥妻的风味门把手有什么作用 不是门外放一个按钮就好了吗 一个按钮的作用跟现在有风味门把手本质上是没有任何区别的 为啥非要做成门把手的样子 还增加一堆塑料件增加成本 还能彻底消除门把手进一步降低风阻 一箭三雕啊[doge_金箍],0,2025-10-15 20:29:59,支持
L1keADaySaGo,糙,0,2025-10-15 20:27:04,中立
李尔尼_,安全无小事~[尴尬],0,2025-10-15 20:26:47,反对
js出海妖还是盾弓,丙戌月,0,2025-10-15 20:24:44,中立
工人阶级一份子,机械风味门把手[doge],0,2025-10-15 20:22:02,反对
相见亦相携,五菱宏光还在封神[吃瓜],0,2025-10-15 20:21:12,中立
贡丸仔,发几遍了？,0,2025-10-15 20:17:37,中立
八月nu,不理解为什么要求小米高速事故不起火能开门，符合国标还死人去怪国标啊,0,2025-10-15 20:15:19,反对
爱吃大橙子不好吗,@小米公司,0,2025-10-15 20:13:29,中立
奶爸威廉,听了超哥的解说，应该把现在的车卖了，然后买新国标的车把手…,0,2025-10-15 20:11:28,支持
kirva-,一开始是没死的[doge],0,2025-10-15 20:05:07,支持
伏龙独孤,群里说7个人亲眼看到人被活生生烧死,0,2025-10-15 20:04:41,反对
忧郁bl,客机够大，够贵了吧，为啥门需要乘务员去手动关闭，那玩意弄个电的不行么。 就前几天开车出门，小区门口被一台车给堵住了，原因很简单，新车，外面的人不会开门，里面的驾驶员够不到。然后就堵了。[吃瓜],0,2025-10-19 22:50:59,支持
魂之欲,出事故是人的问题，但人死了是车的问题,0,2025-10-19 22:44:57,支持
账号已注销,有问题就改正，这是不可避免的,0,2025-10-19 22:12:48,支持
格兰克鼠,榴莲制动片、0.1s退出的弱智智驾、机械风味微动开关门把手。雷老板第一次造车不知道怎么减配，刀刀砍在安全缺陷的大动脉。米车车主有福了[吃瓜],0,2025-10-19 21:49:08,反对
破晓流云,开车遇到过侧滑，吓着了，比亚迪的云辇和问界的自适应扭矩都能解决。去年买新车买了问界,0,2025-10-19 21:25:55,支持
卷毛王炸,@183的冯予希律师 你很幽默[星星眼],0,2025-10-19 20:24:43,中立
艾布拉姆斯11,不是当场死亡吧，可能是烧死的,0,2025-10-19 19:36:52,反对
酌棋,讲得真好，所有加分项都是0，唯有安全是决定它们价值的那个1,0,2025-10-19 19:11:07,中立
认真吃大蒜,小米汽车太智能了，出了事故会自燃消灭驾驶记录[大笑][大笑][大笑],0,2025-10-19 19:12:08,支持
酌棋,最好啊，这些安全开关最好所有车企都是统一位置，普通人不会记那么多的[藏狐]。最好换车了，这些也不不会变太多 现在的年轻人都追求马力什么的，动不动1000匹。。。驾驭得了吗？,0,2025-10-19 19:04:19,支持
给我亿束光,说难听点，第一人是醉驾，并且超速，死了不活该吗？这要是开个油车，这么作完死了，除了竞争对手估计没人愿意出来说什么，死了不活该？第二，既然国家要大力发展电车，本身电车下面那个电池就是手雷，这是电池特性决定的，它就是跟燃油不一样，你不能既享受它的便捷性和能源效率，又想要它的安全性，当然，也有技术条件可以满足。那你成本就上去了，不一堆人骂的更狠吗？所以说白了，现在的舆论聚焦在怎么电车自燃门打不开，而不是聚焦在驾驶者的素质醉驾超速，这简直就是舆论战，本末倒置，别有用心,0,2025-10-19 18:16:51,支持
暖东202268,还得看比亚迪这些大厂！！！！,0,2025-10-19 14:00:26,支持
正派男孩yo,他这个向下喷火，是不是就说明电池下面没有保护呀[笑哭][笑哭],0,2025-10-19 13:04:25,反对
独孤咕噜咕噜犊子,从内往外锁车状态都能直接打开的设计可以理解为一种安全冗余,0,2025-10-19 13:02:32,中立
Vana5,为什么嗓门要这么响。。,0,2025-10-19 12:45:06,中立
哦微操呀,有车一定要买一个破窗器,0,2025-10-19 12:38:21,反对
3G冲浪人,穿越了,0,2025-10-19 12:26:50,中立
空度尘心,为啥那个T牌自燃都没人报道？,0,2025-10-19 12:02:37,反对
羽装头盔,科普一下，事故没噶掉就抽血测酒驾，事故嘎掉的一般来说是用心头血测酒驾。。。这个事故好像没心头血[辣眼睛],0,2025-10-19 09:36:08,支持
Dorminator丶,希望米粉以后都能开小上米汽车，用小米手机，享受小米空调，多为社会安全的进步做贡献[吃瓜],0,2025-10-19 03:47:37,支持
九月的新生活,电动自行车有限速，电动汽车没有,0,2025-10-19 02:54:13,支持
他的一只小鱼干,电车听说只有比亚迪的一体化模架用洛氏硬度最高的料 其他所有新势力都是低5-10个点的料 小米好像是用的卡全行业最低门槛的料 因为一吨粗胚能便宜8000左右 不是很懂 这玩意对车高速撞击的影响大吗,0,2025-10-19 01:07:13,支持
Panzer·Vor,突然发现我开的大众是机械门把手，但是会自动上锁外面打不开，但里面可以直接打开。现在有个问题，要是这车出车祸会自动解锁可以从外面打开吗？,0,2025-10-19 01:05:16,支持
不会设计的苏夏,不用看冲击之前的速度，看冲击后的现场图，没有飞到花圃上，撞击花圃边缘反弹，车完整，前面两个灯完好，安全气囊没有弹出，冲击时速度不可能有80，60差不多了。 离谱的是电池怎么燃烧起来的，门把手微动开关本来就是废，不是直接死亡原因，主要是电池，车辆完整的情况下，凭什么燃烧起来。 冲击之前，后面汽车拍摄的情况，算视频行道树间距和视频读秒，最多140km每小时，而且后面刹车灯亮了，前行两三百米算最后两秒到转弯，预估90km每小时，横向看不太清楚刹车灯有没有亮，没有行道树做参考，暂时算不出来最终冲击时速度是多少？,0,2025-10-19 01:01:18,支持
Ming月Qing风我,撞击起火+车门焊死，小米牌火化炉[支持],0,2025-10-19 01:00:32,反对
想名字是最让人头疼的,500匹一般人都难驾驭,0,2025-10-19 00:51:16,反对
睡着清醒,到底是谁在说时速200的？有权威官方出示的调查报告或者通告明确数据佐证了吗？如果没有的话那我会认为那些说事故车时速200的都是在造谣传谣,0,2025-10-19 00:48:02,支持
张柏磊,那个门把手我以为是机械的，没想到只是个造型，里面有俩微动开关，那为啥还做成机械风格？直接在门上安俩按钮不得了，成本更低,0,2025-10-19 00:20:16,反对
上车饺子下车面,智能驾驶在真正智能之前都要被批判，很正常，因为老的驾驶思路是复杂的，手动挡车上路你要考虑前车，根据前车速度和路况要考虑挂什么档，档位速度不匹配车身也会通过震动，发动机异响，熄火来提醒你驾驶出现问题。而自动挡的出现让这些思考消失了，自动挡让驾驶变成了游戏，只需要你踩油门踩刹车打方向就能动。现代司机上路大多数是不思考的，在车速慢的时候还好，但是例如小米轻松可以让一辆车彪到200+的时速的时候，一向不爱思考的新司机就会脑子跟不上速度。平时只能驾驭60kms的司机你突然让他去开百公里的车不现实。,0,2025-10-19 00:18:29,支持
哀伤但腐女84,但事实是，好人不会买su7，更不会把更贵件东西的信赖放到一个小米上面,0,2025-10-19 00:01:41,支持
2Maliao,那个，万一代驾也喝了怎么办[doge][doge][doge],0,2025-10-19 00:00:29,支持
悠悠yoni,产品生产中改变形态的话，费用损失非常大，老百姓能买单吗？,0,2025-10-18 22:00:19,中立
黑暗之地,一惊一乍的，说了很多废话，干货基本没有,0,2025-10-18 21:42:33,支持
冷眼看人生几何,庆幸他只是自己撞死了，没有撞到别人。,0,2025-10-18 21:41:57,支持
天天有坎过,我非常好奇这个着火点，因为看视频，似乎是车后座烧起来蔓延到了车顶，我第一次见事故后这样烧的，电池着火是车底往上烧才对，我很期待这次事故的调查结果,0,2025-10-18 21:35:45,反对
AllenChark,"No survivor, 0 complaint",0,2025-10-18 21:32:02,中立
深漂搬砖王,不懂就问，什么叫人车合一,0,2025-10-18 20:58:02,支持
塞浦路斯比亚迪,哈哈,0,2025-10-18 20:46:34,中立
夜袭蔷薇,撞绿化带了，下面电池估计同时烂了好几块，一起烧才这么快,0,2025-10-18 20:32:01,反对
灼眼的克子,米粉应得的[呲牙]曾经以为华为就够能吹的了，直到碰到小米,0,2025-10-18 20:27:26,支持
该死的肉球,[微笑]不需要讨论喝酒不喝酒，违规不违规，这些都知道。你就说这个车的问题就行,0,2025-10-18 18:57:16,支持
最爱海美,出了事故 开不了门 无法救援 这是谁的问题 不言而喻,0,2025-10-18 18:31:32,支持
灼眼的克子,翔翔是对的[微笑],0,2025-10-18 18:11:31,支持
龘㴅,是当场死亡，还是当初被到烧死是两码事[藏狐],0,2025-10-18 17:29:14,反对
甲鱼1029,就是车拉呗。,0,2025-10-18 16:57:52,中立
牢科船长,众所周知，哈基米在路上遇到车容易应激[doge],0,2025-10-18 16:19:22,支持
杞天子,先生就缺个惊堂木了,0,2025-10-18 15:57:09,中立
猎狗队烦神DOGEWORRY,又是小米，是吧，怎么又是小米，怎么老是小米，,0,2025-10-18 15:26:53,支持
君君囍霄霄,小米这个车配置都高，最低的配置就是驾驶员,0,2025-10-18 14:59:59,支持
未来包租公,以前特斯拉天天起火的时候也没见这么多节奏啊,0,2025-10-18 14:43:37,支持
bbbbrightttt,酒驾是导致事故的原因，人死了是车的问题,0,2025-10-18 14:23:45,支持
AI_will_Miss_u,车门这个问题，现在有很多车都改回最开始的经典车门把了,0,2025-10-18 14:14:15,支持
worldcup23,挺好的一个案例，只有遇到事才会真正回归汽车的本质，安全的从一个地方抵达另一个地方。围绕本质，你就会知道并不存在弯道超车，百年汽车工业新能源有太大的差距和路要走,0,2025-10-18 14:06:06,支持
